customer_id,first_name,last_name,email,city,state,signup_date,loyalty_tier
CUST0040,Jordan,Davis,jordan.davis40@example.com,Portland,WA,2024-01-05,Silver
CUST0041,Sawyer,Smith,sawyer.smith41@example.com,Seattle,MA,2024-05-03,Bronze
CUST0042,Morgan,Brown,morgan.brown42@example.com,Atlanta,TX,2024-05-01,Bronze
CUST0043,Hayden,Jones,hayden.jones43@example.com,Phoenix,IL,2025-01-21,Silver
CUST0044,Sawyer,Davis,sawyer.davis44@example.com,Denver,MA,2024-09-13,Bronze
CUST0045,Avery,Martinez,avery.martinez45@example.com,Portland,TX,2024-10-01,Bronze
CUST0046,Dakota,Davis,dakota.davis46@example.com,Portland,OR,2024-04-24,Bronze
CUST0047,Sawyer,Johnson,sawyer.johnson47@example.com,Denver,WA,2025-07-16,Bronze
CUST0048,Riley,Miller,riley.miller48@example.com,Seattle,TX,2024-07-24,Silver
CUST0049,Avery,Martinez,avery.martinez49@example.com,Seattle,GA,2025-09-18,Silver
CUST0050,Sawyer,Garcia,sawyer.garcia50@example.com,Chicago,MA,2025-09-30,Silver
CUST0051,Riley,Jones,riley.jones51@example.com,Atlanta,CO,2025-10-02,Silver
CUST0052,Morgan,Garcia,morgan.garcia52@example.com,Seattle,TX,2025-02-26,Silver
CUST0053,Dakota,Johnson,dakota.johnson53@example.com,Seattle,OR,2024-06-20,Silver
CUST0054,Logan,Garcia,logan.garcia54@example.com,Seattle,MA,2024-11-27,Bronze
CUST0055,Morgan,Rodriguez,morgan.rodriguez55@example.com,Chicago,TX,2025-09-14,Silver
CUST0056,Sawyer,Jones,sawyer.jones56@example.com,Seattle,CO,2024-08-11,Bronze
CUST0057,Jordan,Rodriguez,jordan.rodriguez57@example.com,Denver,IL,2024-08-29,Silver
CUST0058,Quinn,Brown,quinn.brown58@example.com,Chicago,OR,2025-03-29,Bronze
CUST0059,Avery,Johnson,avery.johnson59@example.com,Atlanta,IL,2023-12-30,Bronze
CUST0060,Logan,Jones,logan.jones60@example.com,Denver,AZ,2025-06-01,Silver
CUST0061,Sawyer,Smith,sawyer.smith61@example.com,Seattle,WA,2025-10-22,Gold
CUST0062,Sawyer,Smith,sawyer.smith62@example.com,Miami,TX,2025-06-02,Bronze
CUST0063,Logan,Smith,logan.smith63@example.com,Chicago,FL,2023-12-25,Gold
CUST0064,Riley,Brown,riley.brown64@example.com,Seattle,FL,2025-06-10,Gold
CUST0065,Hayden,Martinez,hayden.martinez65@example.com,Denver,MA,2024-04-29,Platinum
CUST0066,Logan,Miller,logan.miller66@example.com,Austin,CO,2024-10-20,Gold
CUST0067,Hayden,Brown,hayden.brown67@example.com,Chicago,CO,2025-11-02,Bronze
CUST0068,Avery,Davis,avery.davis68@example.com,Boston,MA,2025-02-28,Bronze
CUST0069,Riley,Brown,riley.brown69@example.com,Austin,MA,2024-12-27,Bronze
CUST0070,Jordan,Jones,jordan.jones70@example.com,Miami,OR,2024-12-28,Silver
CUST0071,Sawyer,Garcia,sawyer.garcia71@example.com,Austin,WA,2024-08-08,Bronze
CUST0072,Parker,Smith,parker.smith72@example.com,Seattle,TX,2025-02-01,Bronze
CUST0073,Quinn,Miller,quinn.miller73@example.com,Dallas,OR,2024-03-12,Bronze
CUST0074,Dakota,Brown,dakota.brown74@example.com,Chicago,TX,2025-11-09,Bronze
CUST0075,Sawyer,Rodriguez,sawyer.rodriguez75@example.com,Boston,FL,2025-01-29,Bronze
CUST0076,Quinn,Martinez,quinn.martinez76@example.com,Miami,WA,2024-09-17,Silver
CUST0077,Hayden,Garcia,hayden.garcia77@example.com,Atlanta,IL,2025-06-04,Bronze
CUST0078,Hayden,Miller,hayden.miller78@example.com,Denver,TX,2025-06-19,Bronze
CUST0079,Sawyer,Smith,sawyer.smith79@example.com,Chicago,IL,2024-06-17,Bronze
CUST0080,Dakota,Martinez,dakota.martinez80@example.com,Miami,AZ,2025-02-09,Bronze
CUST0081,Riley,Rodriguez,riley.rodriguez81@example.com,Phoenix,CO,2025-09-19,Bronze
CUST0082,Sawyer,Martinez,sawyer.martinez82@example.com,Miami,WA,2024-07-12,Silver
CUST0083,Riley,Brown,riley.brown83@example.com,Denver,TX,2024-01-01,Bronze
CUST0084,Morgan,Martinez,morgan.martinez84@example.com,Seattle,AZ,2025-01-12,Gold
CUST0085,Dakota,Brown,dakota.brown85@example.com,Atlanta,AZ,2024-12-28,Bronze
CUST0086,Avery,Johnson,avery.johnson86@example.com,Atlanta,MA,2024-05-13,Gold
CUST0087,Sawyer,Davis,sawyer.davis87@example.com,Austin,OR,2024-07-27,Gold
CUST0088,Jordan,Davis,jordan.davis88@example.com,Denver,AZ,2025-09-28,Silver
CUST0089,Sawyer,Martinez,sawyer.martinez89@example.com,Miami,AZ,2025-08-03,Gold
CUST0090,Sawyer,Miller,sawyer.miller90@example.com,Portland,AZ,2024-04-25,Silver
CUST0091,Morgan,Davis,morgan.davis91@example.com,Chicago,MA,2025-08-28,Bronze
CUST0092,Sawyer,Davis,sawyer.davis92@example.com,Boston,IL,2025-02-07,Bronze
CUST0093,Parker,Brown,parker.brown93@example.com,Chicago,FL,2024-10-07,Gold
CUST0094,Jordan,Williams,jordan.williams94@example.com,Denver,MA,2024-12-11,Silver
CUST0095,Riley,Johnson,riley.johnson95@example.com,Atlanta,GA,2024-10-18,Silver
CUST0096,Hayden,Smith,hayden.smith96@example.com,Boston,GA,2024-12-17,Gold
CUST0097,Dakota,Smith,dakota.smith97@example.com,Dallas,GA,2025-03-17,Bronze
CUST0098,Quinn,Jones,quinn.jones98@example.com,Atlanta,GA,2025-05-19,Silver
CUST0099,Sawyer,Martinez,sawyer.martinez99@example.com,Boston,AZ,2024-06-26,Bronze
CUST0100,Morgan,Smith,morgan.smith100@example.com,Atlanta,FL,2025-09-29,Silver
CUST0101,Hayden,Williams,hayden.williams101@example.com,Phoenix,CO,2025-08-13,Silver
CUST0102,Hayden,Martinez,hayden.martinez102@example.com,Dallas,TX,2024-02-08,Silver
CUST0103,Logan,Davis,logan.davis103@example.com,Denver,TX,2024-08-07,Bronze
CUST0104,Riley,Davis,riley.davis104@example.com,Miami,FL,2024-12-07,Bronze
CUST0105,Hayden,Jones,hayden.jones105@example.com,Seattle,AZ,2023-12-04,Silver
CUST0106,Avery,Garcia,avery.garcia106@example.com,Boston,WA,2025-09-12,Bronze
CUST0107,Avery,Brown,avery.brown107@example.com,Boston,TX,2025-08-12,Bronze
CUST0108,Logan,Davis,logan.davis108@example.com,Seattle,TX,2024-06-25,Silver
CUST0109,Parker,Garcia,parker.garcia109@example.com,Denver,TX,2025-07-28,Platinum
CUST0110,Jordan,Williams,jordan.williams110@example.com,Chicago,WA,2025-06-29,Bronze
CUST0111,Parker,Martinez,parker.martinez111@example.com,Atlanta,GA,2024-06-05,Bronze
CUST0112,Riley,Johnson,riley.johnson112@example.com,Chicago,TX,2024-03-17,Gold
CUST0113,Dakota,Smith,dakota.smith113@example.com,Miami,OR,2025-01-26,Silver
CUST0114,Jordan,Rodriguez,jordan.rodriguez114@example.com,Miami,TX,2025-01-18,Gold
CUST0115,Jordan,Miller,jordan.miller115@example.com,Miami,AZ,2025-11-08,Bronze
CUST0116,Logan,Rodriguez,logan.rodriguez116@example.com,Chicago,TX,2025-05-19,Gold
CUST0117,Morgan,Miller,morgan.miller117@example.com,Dallas,IL,2024-10-10,Gold
CUST0118,Jordan,Jones,jordan.jones118@example.com,Phoenix,MA,2025-03-04,Silver
CUST0119,Hayden,Garcia,hayden.garcia119@example.com,Austin,AZ,2024-10-12,Bronze
CUST0120,Riley,Garcia,riley.garcia120@example.com,Chicago,FL,2024-08-27,Gold
CUST0121,Parker,Rodriguez,parker.rodriguez121@example.com,Austin,OR,2024-05-28,Bronze
CUST0122,Hayden,Davis,hayden.davis122@example.com,Portland,MA,2025-10-22,Silver
CUST0123,Morgan,Davis,morgan.davis123@example.com,Austin,WA,2024-09-11,Bronze
CUST0124,Riley,Jones,riley.jones124@example.com,Dallas,FL,2025-03-13,Silver
CUST0125,Quinn,Miller,quinn.miller125@example.com,Portland,FL,2024-11-09,Silver
CUST0126,Parker,Jones,parker.jones126@example.com,Chicago,MA,2024-03-17,Silver
CUST0127,Quinn,Johnson,quinn.johnson127@example.com,Portland,CO,2024-05-29,Bronze
CUST0128,Morgan,Jones,morgan.jones128@example.com,Dallas,OR,2025-07-18,Bronze
CUST0129,Jordan,Brown,jordan.brown129@example.com,Chicago,MA,2024-11-18,Bronze
CUST0130,Avery,Rodriguez,avery.rodriguez130@example.com,Denver,IL,2023-12-31,Platinum
CUST0131,Sawyer,Jones,sawyer.jones131@example.com,Denver,AZ,2024-02-28,Gold
CUST0132,Dakota,Jones,dakota.jones132@example.com,Phoenix,AZ,2025-02-08,Bronze
CUST0133,Avery,Jones,avery.jones133@example.com,Phoenix,WA,2024-01-20,Bronze
CUST0134,Jordan,Martinez,jordan.martinez134@example.com,Austin,CO,2024-04-15,Gold
CUST0135,Parker,Johnson,parker.johnson135@example.com,Boston,WA,2025-06-08,Gold
CUST0136,Dakota,Martinez,dakota.martinez136@example.com,Dallas,MA,2025-05-03,Bronze
CUST0137,Morgan,Jones,morgan.jones137@example.com,Dallas,GA,2024-09-22,Silver
CUST0138,Avery,Martinez,avery.martinez138@example.com,Seattle,MA,2025-08-16,Bronze
CUST0139,Jordan,Williams,jordan.williams139@example.com,Boston,CO,2025-06-02,Bronze
CUST0140,Avery,Miller,avery.miller140@example.com,Phoenix,TX,2025-03-10,Bronze
CUST0141,Riley,Jones,riley.jones141@example.com,Chicago,AZ,2024-01-26,Silver
CUST0142,Parker,Martinez,parker.martinez142@example.com,Boston,GA,2024-03-11,Silver
CUST0143,Logan,Jones,logan.jones143@example.com,Denver,WA,2024-01-15,Bronze
CUST0144,Parker,Martinez,parker.martinez144@example.com,Dallas,IL,2025-02-06,Bronze
CUST0145,Parker,Miller,parker.miller145@example.com,Chicago,OR,2025-05-20,Silver
CUST0146,Jordan,Martinez,jordan.martinez146@example.com,Austin,GA,2024-10-10,Silver
CUST0147,Avery,Johnson,avery.johnson147@example.com,Boston,TX,2025-07-08,Platinum
CUST0148,Parker,Martinez,parker.martinez148@example.com,Austin,CO,2025-03-10,Silver
CUST0149,Morgan,Jones,morgan.jones149@example.com,Denver,TX,2025-02-03,Silver
CUST0150,Morgan,Johnson,morgan.johnson150@example.com,Phoenix,FL,2025-01-06,Bronze
